algorithm,size,instance_idx,seed,tour_length,execution_time,status,instance_type
Branch & Bound,6,2,44,265.6782514680872,0.0005452632904052734,success,euclidean
MST 2-Approximation,6,2,44,275.0022142760406,4.5299530029296875e-05,success,euclidean
Nearest Neighbor,6,2,44,275.0022142760406,2.5033950805664062e-05,success,euclidean
Multi-start NN,6,2,44,275.0022142760406,0.0001671314239501953,success,euclidean
NN + 2-opt,6,2,44,265.6782514680872,7.271766662597656e-05,success,euclidean
Multi-start NN + 2-opt,6,2,44,265.6782514680872,0.0002868175506591797,success,euclidean
Brute Force,7,0,42,248.74978831266608,0.0029344558715820312,success,euclidean
Held-Karp DP,7,0,42,248.74978831266608,0.0009677410125732422,success,euclidean
Branch & Bound,7,0,42,248.74978831266608,0.0015130043029785156,success,euclidean
MST 2-Approximation,7,0,42,248.74978831266608,8.511543273925781e-05,success,euclidean
Nearest Neighbor,7,0,42,248.74978831266608,8.0108642578125e-05,success,euclidean
Multi-start NN,7,0,42,248.74978831266608,0.0001723766326904297,success,euclidean
NN + 2-opt,7,0,42,248.74978831266608,9.72747802734375e-05,success,euclidean
Multi-start NN + 2-opt,7,0,42,248.74978831266608,0.0007035732269287109,success,euclidean
Brute Force,7,1,43,176.9502049779631,0.0030803680419921875,success,euclidean
Held-Karp DP,7,1,43,176.9502049779631,0.0009353160858154297,success,euclidean
Branch & Bound,7,1,43,176.9502049779631,0.0012316703796386719,success,euclidean
MST 2-Approximation,7,1,43,190.11655161337407,7.82012939453125e-05,success,euclidean
Nearest Neighbor,7,1,43,190.11655161337407,9.72747802734375e-05,success,euclidean
Multi-start NN,7,1,43,176.9502049779631,0.00013589859008789062,success,euclidean
NN + 2-opt,7,1,43,176.9502049779631,0.00011229515075683594,success,euclidean
Multi-start NN + 2-opt,7,1,43,176.9502049779631,0.0005705356597900391,success,euclidean
Brute Force,7,2,44,279.04836433575935,0.002686738967895508,success,euclidean
Held-Karp DP,7,2,44,279.04836433575935,0.0008368492126464844,success,euclidean
Branch & Bound,7,2,44,279.04836433575935,0.002533435821533203,success,euclidean
MST 2-Approximation,7,2,44,288.37232714371277,0.00021505355834960938,success,euclidean
Nearest Neighbor,7,2,44,288.37232714371277,3.528594970703125e-05,success,euclidean
Multi-start NN,7,2,44,288.37232714371277,0.0001571178436279297,success,euclidean
NN + 2-opt,7,2,44,279.04836433575935,0.00010132789611816406,success,euclidean
Multi-start NN + 2-opt,7,2,44,279.04836433575935,0.0008594989776611328,success,euclidean
Brute Force,8,0,42,253.27750067749182,0.02126026153564453,success,euclidean
